,新レシピID,旧レシピID,レシピ名,主菜・副菜
0,100002,2,あげとわかめのお味噌汁,汁物
1,100009,9,アボカドと小海老のディップ,副菜
2,100010,10,アボカドの味噌グラタン,副菜
3,100011,11,イカとあさりのトマト煮,主菜・主食
4,100015,15,イタリアンサラダ,副菜
5,100021,21,いんげんの肉味噌,副菜
6,100023,23,えのき茸とわかめのお味噌汁,汁物
7,100027,27,エビの生春巻き,主菜・主食
8,100031,31,おから入りふわふわチキンボール,副菜
9,100032,32,オニオングラタンスープ,汁物
10,100036,36,カジキのムニエル,主菜・主食
11,100040,40,かぶのサラダ漬け,副菜
12,100041,41,かぼちゃと油揚げのお味噌汁,汁物
13,100046,46,かぼちゃのコロッケ,主菜・主食
14,100047,47,かぼちゃのスープ,汁物
15,100048,48,かぼちゃのピザ,主菜・主食
16,100050,50,カレイのから揚げ,主菜・主食
17,100055,55,きのこのパスタ,主菜・主食
18,100056,56,キャベツとあげのお味噌汁,汁物
19,100057,57,キャベツとトマトのお味噌汁,汁物
20,100060,60,キャベツと卵のスープ,汁物
21,100061,61,キャベツ入りメンチカツ,主菜・主食
22,100064,64,きゅうりとわかめのサラダ,副菜
23,100065,65,きゅうりと豚しゃぶのサラダ,主菜・主食
24,100066,66,きゅうりの塩昆布,副菜
25,100067,67,きゅうりの辛子漬け,副菜
26,100070,70,グリンピースの甘煮,副菜
27,100071,71,ゴーヤチャンプルー,主菜・主食
28,100072,72,ゴーヤのサラダ,副菜
29,100074,74,コールスローサラダ,副菜
30,100076,76,コーンスープ,汁物
31,100078,78,コンソメスープ,汁物
32,100079,79,サーモンのハーブグリル,主菜・主食
33,100081,81,サワー漬け,副菜
34,100089,89,しし唐ベーコン巻,副菜
35,100090,90,ジャージャー麺,主菜・主食
36,100092,92,じゃがいもコーンしめじのスープ,汁物
37,100099,99,じゃがいもの冷たいスープ,汁物
38,100100,100,じゃこと梅の混ぜご飯,主菜・主食
39,100103,103,セロリとりんごのサラダ,副菜
40,100105,105,たことパプリカのマリネ,副菜
41,100106,106,たこと彩り野菜のサラダ,副菜
42,100112,112,チキンとグレープフルーツのサラダ,副菜
43,100114,114,チキンのトマト煮,主菜・主食
44,100115,115,チキンのハーブグリル,主菜・主食
45,100116,116,チキンバー＆ポテト,主菜・主食
46,100117,117,チョレギサラダ,副菜
47,100119,119,ツナ入りマカロニサラダ,副菜
48,100122,122,とうもろこしのスープ,汁物
49,100124,124,トマトスープ,汁物
50,100125,125,トマトスライス,副菜
51,100126,126,トマトといんげんのヨーグルトサラダ,副菜
52,100127,127,とろろ昆布のお吸い物,汁物
53,100130,130,ナスとかぼちゃのお味噌汁,汁物
54,100131,131,ナスのあっさり漬け,副菜
55,100132,132,ナスのミートグラタン,主菜・主食
56,100137,137,にゅう麺,主菜・主食
57,100138,138,ニラ玉,副菜
58,100140,140,ねぎソースの冷奴,副菜
59,100141,141,ねぎとじゃがいもの温かいスープ,汁物
60,100142,142,パプリカのマリネ,副菜
61,100146,146,パンプキンサラダ,副菜
62,100148,148,野菜たっぷり焼きビーフン,副菜
63,100150,150,ピーマン昆布,副菜
64,100155,155,ピリ辛きゅうり,副菜
65,100161,161,ブロッコリーとアスパラガスのヨーグルトサラダ,副菜
66,100164,164,ベーコンとチーズのサラダ,副菜
67,100165,165,ベーコンと大根のスープ,汁物
68,100166,166,ベジスープ,汁物
69,100173,173,ほうれん草と人参とちくわの炒め物,副菜
70,100175,175,ほうれん草のナムル,副菜
71,100178,178,ほうれん草の卵巻き,副菜
72,100182,182,ホタルイカの酢味噌和え,副菜
73,100183,183,ポテトサラダ,副菜
74,100186,186,マグロとアボカド寿司,主菜・主食
75,100187,187,ミネストローネ,汁物
76,100189,189,モロヘイヤとトマトのスープ,汁物
77,100191,191,レタス炒飯,主菜・主食
78,100193,193,レンコンのバター炒め,副菜
79,100197,197,わかめスープ,汁物
80,100198,198,わかめとお麩のお吸い物,汁物
81,100199,199,わかめとお麩のお味噌汁,汁物
