,number,word,tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod
0,000-00-000,玉ねぎ/名詞/たまねぎ,F-B,,,,,,,,,,,,,
1,000-00-001,は/助詞/は,O,,,,,,,,,,,,,
2,000-00-002,すりおろ/動詞/すりおろ,Ac-B,,,,,,,,,,,,,
3,000-00-003,す/語尾/す,O,,,,,,,,,,,,,
4,000-00-004,。/補助記号/。,O,,,,,,,,,,,,,
5,001-00-000,すりおろ/動詞/すりおろ,Ac-B,,,,,,,,,,,,,
6,001-00-001,し/語尾/し,O,,,,,,,,,,,,,
7,001-00-002,た/助動詞/た,O,,,,,,,,,,,,,
8,001-00-003,玉ねぎ/名詞/たまねぎ,F-B,,,,,,,,,,,,,
9,001-00-004,に/助詞/に,O,,,,,,,,,,,,,
10,001-00-005,、/補助記号/、,O,,,,,,,,,,,,,
11,001-00-006,おろし/名詞/おろし,F-B,,,,,,,,,,,,,
12,001-00-007,にんにく/名詞/にんにく,F-I,,,,,,,,,,,,,
13,001-00-008,と/助詞/と,O,,,,,,,,,,,,,
14,001-00-009,おろ/動詞/おろ,Ac-B,,,,,,,,,,,,,
15,001-00-010,し/語尾/し,O,,,,,,,,,,,,,
16,001-00-011,生姜/名詞/しょうが,O,,,,,,,,,,,,,
17,001-00-012,、/補助記号/、,O,,,,,,,,,,,,,
18,001-00-013,still/動詞/ＳＴＩＬＬ,F-B,,,,,,,,,,,,,
19,001-00-014,たれ/接尾辞/たれ,O,,,,,,,,,,,,,
20,001-00-015,と/助詞/と,O,,,,,,,,,,,,,
21,001-00-016,赤味噌/名詞/あかみそ,F-B,,,,,,,,,,,,,
22,001-00-017,、/補助記号/、,O,,,,,,,,,,,,,
23,001-00-018,豆板/名詞/まめいた,F-B,,,,,,,,,,,,,
24,001-00-019,醤/名詞/びしお,F-I,,,,,,,,,,,,,
25,001-00-020,を/助詞/を,O,,,,,,,,,,,,,
26,001-00-021,加え/動詞/くわえ,Ac-B,,,,,,,,,,,,,
27,001-00-022,て/助詞/て,O,,,,,,,,,,,,,
28,001-00-023,、/補助記号/、,O,,,,,,,,,,,,,
29,001-00-024,よく/副詞/よく,O,,,,,,,,,,,,,
30,001-00-025,混ぜ合わせ/動詞/まぜあわせ,Ac-B,,,,,,,,,,,,,
31,001-00-026,て/助詞/て,O,,,,,,,,,,,,,
32,001-00-027,タレ/名詞/たれ,F-B,,,,,,,,,,,,,
33,001-00-028,を/助詞/を,O,,,,,,,,,,,,,
34,001-00-029,作/動詞/つく,Ac-B,,,,,,,,,,,,,
35,001-00-030,り/語尾/り,O,,,,,,,,,,,,,
36,001-00-031,、/補助記号/、,O,,,,,,,,,,,,,
37,001-00-032,牛/名詞/うし,F-B,,,,,,,,,,,,,
38,001-00-033,ロース/名詞/ろーす,F-I,,,,,,,,,,,,,
39,001-00-034,肉/名詞/にく,F-I,,,,,,,,,,,,,
40,001-00-035,を/助詞/を,O,,,,,,,,,,,,,
41,001-00-036,漬け/動詞/づけ,Ac-B,,,,,,,,,,,,,
42,001-00-037,る/語尾/る,O,,,,,,,,,,,,,
43,001-00-038,。/補助記号/。,O,,,,,,,,,,,,,
44,002-00-000,タレ/名詞/たれ,F-B,,,,,,,,,,,,,
45,002-00-001,に/助詞/に,O,,,,,,,,,,,,,
46,002-00-002,漬け/動詞/づけ,Ac-B,,,,,,,,,,,,,
47,002-00-003,た/助動詞/た,O,,,,,,,,,,,,,
48,002-00-004,牛/名詞/うし,F-B,,,,,,,,,,,,,
49,002-00-005,ロース/名詞/ろーす,F-I,,,,,,,,,,,,,
50,002-00-006,肉/名詞/にく,F-I,,,,,,,,,,,,,
51,002-00-007,を/助詞/を,O,,,,,,,,,,,,,
52,002-00-008,グリル/名詞/ぐりる,F-B,,,,,,,,,,,,,
53,002-00-009,（/補助記号/（,O,,,,,,,,,,,,,
54,002-00-010,フライパン/名詞/ふらいぱん,T-B,,,,,,,,,,,,,
55,002-00-011,で/助詞/で,O,,,,,,,,,,,,,
56,002-00-012,も/助詞/も,O,,,,,,,,,,,,,
57,002-00-013,可/名詞/か,O,,,,,,,,,,,,,
58,002-00-014,）/補助記号/）,O,,,,,,,,,,,,,
59,002-00-015,で/助動詞/で,O,,,,,,,,,,,,,
60,002-00-016,焼/動詞/や,Ac-B,,,,,,,,,,,,,
61,002-00-017,く/語尾/く,O,,,,,,,,,,,,,
62,002-00-018,。/補助記号/。,O,,,,,,,,,,,,,
63,003-00-000,サンチュ/名詞/さんちゅ,F-B,,,,,,,,,,,,,
64,003-00-001,を/助詞/を,O,,,,,,,,,,,,,
65,003-00-002,敷/動詞/し,Ac-B,,,,,,,,,,,,,
66,003-00-003,い/語尾/い,O,,,,,,,,,,,,,
67,003-00-004,た/助動詞/た,O,,,,,,,,,,,,,
68,003-00-005,器/名詞/うつわ,T-B,,,,,,,,,,,,,
69,003-00-006,に/助詞/に,O,,,,,,,,,,,,,
70,003-00-007,焼肉/名詞/やきにく,F-B,,,,,,,,,,,,,
71,003-00-008,を/助詞/を,O,,,,,,,,,,,,,
72,003-00-009,盛り付け/動詞/もりつけ,Ac-B,,,,,,,,,,,,,
73,003-00-010,、/補助記号/、,O,,,,,,,,,,,,,
74,003-00-011,お/接頭辞/お,O,,,,,,,,,,,,,
75,003-00-012,好み/名詞/このみ,O,,,,,,,,,,,,,
76,003-00-013,で/助詞/で,O,,,,,,,,,,,,,
77,003-00-014,キムチ/名詞/きむち,F-B,,,,,,,,,,,,,
78,003-00-015,を/助詞/を,O,,,,,,,,,,,,,
79,003-00-016,添え/動詞/そえ,Ac-B,,,,,,,,,,,,,
80,003-00-017,たら/助詞/たら,O,,,,,,,,,,,,,
81,003-00-018,完成/名詞/かんせい,Af-B,,,,,,,,,,,,,
82,003-00-019,。/補助記号/。,O,,,,,,,,,,,,,
