,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,鍋,T,,入れ,Dest
2,002-00-000,だし汁,F,,入れ,Targ
4,004-00-000,酒,F,,入れ,Targ
6,006-00-000,砂糖,F,,入れ,Targ
8,008-00-000,塩,F,,入れ,Targ
10,010-00-000,入れ,Ac,,て,Targ
11,011-00-000,て,Ac,,かけ,Targ
12,012-00-000,強火,T,,かけ,Dest
14,014-00-000,かけ,Ac,,止め,Targ
16,016-00-000,沸騰,Af,,止め,V-tm
19,019-00-000,火,Sf,,止め,Targ
21,021-00-000,止め,Ac,,さま,Targ
23,023-00-000,さま,Ac,,加え,Targ
33,033-00-000,酒,F,,アルコール,F-eq
35,035-00-000,アルコール,D,,分,F-eq
36,036-00-000,分,Q,,加え,Targ
42,042-00-000,味,Sf,,まろやか,Agent
44,044-00-000,まろやか,Sf,,加え,Targ
49,049-00-000,ボール,T,,溶きほぐ,Dest
51,051-00-000,卵,F,,溶きほぐ,Targ
53,053-00-000,溶きほぐ,Ac,,加え,Targ
56,056-00-000,1,Q,,加え,V-tm
58,058-00-000,加え,Ac,,混ぜ,Targ
61,061-00-000,混ぜ,Ac,,さめ,Targ
64,064-00-000,熱,Sf,,加え,Targ
68,068-00-000,加え,Ac,,さめ,Targ
71,071-00-000,卵,F,,固ま,Agent
73,073-00-000,固ま,Af,,さめ,Targ
81,081-00-000,指,F,,入れ,Targ
83,083-00-000,入れ,Ac,,て,Targ
84,084-00-000,て,Ac,,さめ,V-tm
88,088-00-000,少し,Ac,,さめ,V-tm
96,096-00-000,さめ,Ac,,混ぜ,Targ
99,099-00-000,混ぜ,Ac,,流し入れ,Targ
102,102-00-000,卵焼き,T,,熱,Targ
103,103-00-000,器,T,,熱,Targ
105,105-00-000,強め,Ac,,熱,Dest
107,107-00-000,中火,T,,熱,Dest
109,109-00-000,熱,Sf,,ひ,Targ
112,112-00-000,サラダ,F,,油,F-eq
113,113-00-000,油,F,,ひ,Targ
115,115-00-000,薄,Ac,,ひ,Targ
117,117-00-000,ひ,Ac,,拭き取,Targ
121,121-00-000,余分,Ac,,油,F-part-of
123,123-00-000,油,F,,拭き取,Targ
125,125-00-000,ペーパー,F,,タオル,T-eq
126,126-00-000,タオル,T,,拭き取,Dest
128,128-00-000,拭き取,Ac,,流し入れ,Targ
131,131-00-000,火,Sf,,注意,Dest
133,133-00-000,弱,Ac,,注意,Targ
138,138-00-000,卵,F,,注意,Targ
140,140-00-000,ふっくら,Sf,,巻,other-mod
146,146-00-000,巻,Ac,,くずれ,Targ
153,153-00-000,くずれ,Ac,,注意,Targ
160,160-00-000,注意,Ac,,流し入れ,Targ
162,162-00-000,卵液,F,,流し入れ,Targ
164,164-00-000,1,Q,,流し入れ,V-tm
168,168-00-000,1,Q,,流し入れ,V-tm
173,173-00-000,流し入れ,Ac,,広げ,Targ
175,175-00-000,卵焼き,T,,傾け,Targ
176,176-00-000,器,T,,傾け,Targ
178,178-00-000,傾け,Ac,,広げ,Targ
181,181-00-000,全体,F,,広げ,Targ
183,183-00-000,広げ,Ac,,はが,V-tm
186,186-00-000,まわり,F,,固ま,Dest
188,188-00-000,固ま,Af,,はが,V-tm
195,195-00-000,菜箸,T,,はが,T-comp
197,197-00-000,周囲,F,,はが,Targ
199,199-00-000,ぐるりと,Ac,,はが,other-mod
201,201-00-000,ずつ,F,,はが,V-tm
202,202-00-000,はが,Ac,,巻,Targ
205,205-00-000,手前,F,,巻,Dest
209,209-00-000,向か,Ac,,巻,Dest
212,212-00-000,巻,Ac,,巻,Targ
218,218-00-000,表面,F,,焼け,V-tm
222,222-00-000,焼け,Ac,,巻,V-tm
228,228-00-000,巻,Ac,,OK,Targ
233,233-00-000,なじ,Af,,OK,V-tm
237,237-00-000,すきま,Sf,,OK,V-tm
239,239-00-000,でき,Af,,OK,V-tm
246,246-00-000,半熟,Ac,,OK,V-tm
252,252-00-000,巻,Ac,,OK,V-tm
260,260-00-000,きれい,Ac,,OK,V-tm
262,262-00-000,巻け,Ac,,OK,V-tm
268,268-00-000,どんどん,Ac,,OK,V-tm
271,271-00-000,まとめ,Ac,,OK,V-tm
277,277-00-000,OK,Af,,移,Targ
279,279-00-000,巻,Ac,,移,Targ
282,282-00-000,卵,F,,移,Targ
284,284-00-000,手前,F,,移,Dest
286,286-00-000,移,Ac,,拭,Targ
289,289-00-000,卵焼き,T,,拭,Targ
290,290-00-000,器,T,,ところ,T-part-of
295,295-00-000,ところ,F,,拭,Targ
297,297-00-000,、,Ac,,拭,Targ
298,298-00-000,油,F,,少々,T-part-of
299,299-00-000,少々,Q,,含,T-part-of
301,301-00-000,含,Ac,,ペーパー,T-part-of
305,305-00-000,ペーパー,F,,タオル,T-part-of
306,306-00-000,タオル,T,,拭,T-comp
310,310-00-000,拭,Ac,,流し入れ,Targ
313,313-00-000,残り,Q,,卵液,F-part-of
315,315-00-000,卵液,F,,流し入れ,Targ
317,317-00-000,1,Q,,流し入れ,V-tm
321,321-00-000,1,Q,,流し入れ,V-tm
323,323-00-000,2,F,,流し入れ,V-tm
326,326-00-000,流し入れ,Ac,,広げ,Targ
328,328-00-000,全体,F,,広げ,Targ
330,330-00-000,広げ,Ac,,巻,Targ
332,332-00-000,巻,Ac,,持ち上げ,Targ
335,335-00-000,卵,F,,かる,Targ
337,337-00-000,かる,Ac,,持ち上げ,Targ
339,339-00-000,持ち上げ,Ac,,流し込,Targ
341,341-00-000,下,F,,流し込,Dest
344,344-00-000,卵液,F,,流し込,Targ
346,346-00-000,流し込,Ac,,巻,Targ
353,353-00-000,卵,F,,巻,Targ
356,356-00-000,まとま,Af,,巻,V-tm
359,359-00-000,巻,Ac,,巻,Targ
366,366-00-000,焼き上がり,F,,でき,Agent
368,368-00-000,すきま,Sf,,でき,Agent
370,370-00-000,でき,Af,,巻,Targ
374,374-00-000,まわり,F,,固ま,Agent
376,376-00-000,固ま,Af,,巻,V-tm
383,383-00-000,表面,F,,巻,Dest
390,390-00-000,手前,F,,巻,Dest
394,394-00-000,巻,Ac,,焼,Targ
397,397-00-000,残り,Q,,卵液,F-part-of
399,399-00-000,卵液,F,,焼,Targ
403,403-00-000,焼,Ac,,押しつけ,Targ
406,406-00-000,最後,Ac,,押しつけ,V-tm
408,408-00-000,卵焼き,T,,押しつけ,Dest
409,409-00-000,器,T,,押しつけ,Dest
411,411-00-000,縁,T,,押しつけ,Dest
413,413-00-000,押しつけ,Ac,,整え,Targ
415,415-00-000,形,F,,整え,Targ
417,417-00-000,整え,Ac,,のせ,Targ
420,420-00-000,まな,T,,のせ,Dest
423,423-00-000,のせ,Ac,,完全,V-tm
425,425-00-000,完全,Ac,,さめ,V-tm
427,427-00-000,さめ,Ac,,切り分け,V-tm
431,431-00-000,切り分け,Ac,,盛,Targ
433,433-00-000,皿,T,,盛,Dest
435,435-00-000,盛,Ac,,つけ,Targ
438,438-00-000,熱,Sf,,卵,F-eq
443,443-00-000,卵,F,,なじ,V-tm
445,445-00-000,なじ,Af,,切,V-tm
452,452-00-000,切,Ac,,切,Targ
455,455-00-000,切,Ac,,つけ,Targ
463,463-00-000,つけ,Ac,,添え,Targ
468,468-00-000,大根,F,,おろし,F-eq
469,469-00-000,おろし,F,,添え,Targ
471,471-00-000,しょうが,F,,甘酢,F-eq
473,473-00-000,甘酢,F,,添え,Targ
476,476-00-000,貝割れ,Ac,,添え,Targ
481,481-00-000,添え,Ac,,,
