,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,キャベツ,F,,しん,
1,001-00-000,1,Q,,4,
3,003-00-000,4,Q,,約,
6,006-00-000,約,D,,200,
7,007-00-000,200,Q,,取り除,
11,011-00-000,しん,F,,取り除,
13,013-00-000,取り除,Ac,,切,
16,016-00-000,4,Sf,,切,
18,018-00-000,四方,Sf,,切,
20,020-00-000,切,Ac,,入れ,
23,023-00-000,耐熱,F,,器,
25,025-00-000,器,T,,入れ,
27,027-00-000,入れ,Ac,,かけ,
29,029-00-000,ラップ,T,,かけ,
31,031-00-000,かけ,Ac,,加熱,
33,033-00-000,電子,T,,レンジ,
34,034-00-000,レンジ,T,,加熱,
36,036-00-000,約,D,,2,
37,037-00-000,2,D,,加熱,
39,039-00-000,30,D,,加熱,
41,041-00-000,加熱,Ac,,ふ,
44,044-00-000,熱,Sf,,塩,
48,048-00-000,塩,F,,塩,
49,049-00-000,少々,Q,,塩,
51,051-00-000,ごま,F,,塩,
53,053-00-000,小さじ,Q,,塩,
54,054-00-000,1,F,,塩,
56,056-00-000,ふ,Ac,,混ぜ,
59,059-00-000,菜箸,T,,混ぜ,
61,061-00-000,混ぜ,Ac,,き,
63,063-00-000,粗熱,Sf,,取れ,
65,065-00-000,取れ,Af,,き,
69,069-00-000,水け,Sf,,き,
71,071-00-000,き,Ac,,き,
74,074-00-000,ツナ,F,,き,
77,077-00-000,80,Q,,き,
84,084-00-000,缶汁,F,,き,
86,086-00-000,き,Ac,,ほぐ,
89,089-00-000,ほぐ,Ac,,混ぜ合わせ,
92,092-00-000,ボール,T,,混ぜ合わせ,
94,094-00-000,マヨネーズ,F,,混ぜ合わせ,
95,095-00-000,大さじ,Q,,3,
96,096-00-000,3,F,,混ぜ合わせ,
98,098-00-000,しょうゆ,F,,混ぜ合わせ,
99,099-00-000,小さじ,Q,,1,
100,100-00-000,1,Q,,2,
102,102-00-000,2,F,,混ぜ合わせ,
104,104-00-000,フレンチ,F,,マスタード,
105,105-00-000,マスタード,F,,混ぜ合わせ,
106,106-00-000,小さじ,Q,,混ぜ合わせ,
109,109-00-000,こしょう,F,,混ぜ合わせ,
110,110-00-000,少々,Q,,混ぜ合わせ,
112,112-00-000,混ぜ合わせ,Ac,,加え,
115,115-00-000,キャベツ,F,,加え,
117,117-00-000,ツナ,F,,加え,
119,119-00-000,加え,Ac,,あえ,
121,121-00-000,あえ,Ac,,盛,
123,123-00-000,器,T,,盛,
