,number,new_word,new_tag,Agent,Targ,Dest,F-comp,T-comp,F-eq,F-part-of,F-set,T-eq,T-part-of,V-eq,V-tm,other-mod
0,000-00-000,人参,F,,25,,,,,,,,,,,
2,000-00-002,いちょう,Sf,,3,,,,,,,,,,,
3,000-00-003,切り,Sf,,25,,,,,,,,,,,
6,000-00-006,玉ねぎ,F,,12,,,,,,,,,,,
8,000-00-008,じゃがいも,F,,12,,,,,,,,,,,
10,000-00-010,皮,F,,12,,,,,,,,,,,
12,000-00-012,剥,Ac,,25,,,,,,,,,,,
14,000-00-014,1,Sf,,18,,,,,,,,,,,
15,000-00-015,cm,Sf,,18,,,,,,,,,,,
16,000-00-016,角,Sf,,18,,,,,,,,,,,
18,000-00-018,切,Ac,,25,,,,,,,,,,,
21,000-00-021,マッシュルーム,F,,25,,,,,,,,,,,
23,000-00-023,薄切り,Sf,,25,,,,,,,,,,,
25,000-00-025,する,Ac,,104,,,,,,,,,,,
27,001-00-000,バター,F,,31,,,,,,,,,,,
29,001-00-002,常温,Sf,,31,,,,,,,,,,,
31,001-00-004,戻,Ac,,35,,,,,,,,,,,
33,001-00-006,片栗粉,F,,35,,,,,,,,,,,
35,001-00-008,混ぜ,Ac,,138,,,,,,,,,,,
38,002-00-000,あさり,F,,47,,,,,,,,,,,
44,002-00-006,貝,F,,45,,,,,,,,,,,
45,002-00-007,同士,F,,47,,,,,,,,,,,
47,002-00-009,こす,Ac,,49,,,,,,,,,,,
49,002-00-011,洗い,Ac,,58,,,,,,,,,,,
52,003-00-000,水,F,,58,,,,,,,,,,,
54,003-00-002,あさり,F,,58,,,,,,,,,,,
56,003-00-004,鍋,T,,58,,,,,,,,,,,
58,003-00-006,入れ,Ac,,61,,,,,,,,,,,
59,003-00-007,火,T,,61,,,,,,,,,,,
61,003-00-009,かけ,Ac,,77,,,,,,,,,,,
64,003-00-012,あさり,F,,66,,,,,,,,,,,
66,003-00-014,開,Af,,77,,,,,,,,,,,
72,003-00-020,アク,F,,77,,,,,,,,,,,
75,003-00-023,火,T,,77,,,,,,,,,,,
77,003-00-025,止め,Ac,,85,,,,,,,,,,,
80,004-00-000,あさり,F,,83,,,,,,,,,,,
82,004-00-002,茹で,Sf,,83,,,,,,,,,,,
83,004-00-003,汁,F,,85,,,,,,,,,,,
85,004-00-005,分け,Ac,,91,,,,,,,,,,,
87,004-00-007,あさり,F,,89,,,,,,,,,,,
89,004-00-009,身,F,,91,,,,,,,,,,,
91,004-00-011,取り出,Ac,,147,,,,,,,,,,,
94,005-00-000,鍋,T,,104,,,,,,,,,,,
96,005-00-002,じゃがいも,F,,104,,,,,,,,,,,
98,005-00-004,玉ねぎ,F,,104,,,,,,,,,,,
100,005-00-006,人参,F,,104,,,,,,,,,,,
104,005-00-010,入れ,Ac,,111,,,,,,,,,,,
106,005-00-012,あさり,F,,108,,,,,,,,,,,
108,005-00-014,茹で,F,,109,,,,,,,,,,,
109,005-00-015,汁,F,,111,,,,,,,,,,,
111,005-00-017,加え,Ac,,113,,,,,,,,,,,
113,005-00-019,火,T,,115,,,,,,,,,,,
115,005-00-021,かけ,Ac,,133,,,,,,,,,,,
118,005-01-024,野菜,F,,120,,,,,,,,,,,
120,005-01-026,軟らか,Sf,,122,,,,,,,,,,,
122,005-01-028,な,Af,,133,,,,,,,,,,,
126,005-01-032,コンソメ,F,,127,,,,,,,,,,,
127,005-01-033,顆粒,F,,133,,,,,,,,,,,
129,005-01-035,塩,F,,133,,,,,,,,,,,
131,005-01-037,こしょう,F,,133,,,,,,,,,,,
133,005-01-039,加え,Ac,,134,,,,,,,,,,,
134,005-01-040,混ぜ,Ac,,138,,,,,,,,,,,
136,005-01-042,バター,F,,138,,,,,,,,,,,
138,005-01-044,加え,Ac,,139,,,,,,,,,,,
139,005-01-045,溶か,Ac,,147,,,,,,,,,,,
142,006-00-000,鍋,T,,147,,,,,,,,,,,
144,006-00-002,生,F,,145,,,,,,,,,,,
145,006-00-003,クリーム,F,,147,,,,,,,,,,,
147,006-00-005,加え,Ac,,158,,,,,,,,,,,
148,006-00-006,とろみ,Sf,,150,,,,,,,,,,,
150,006-00-008,つ,Af,,158,,,,,,,,,,,
156,006-00-014,身,F,,158,,,,,,,,,,,
158,006-00-016,加え,Ac,,165,,,,,,,,,,,
159,006-00-017,一,Ac,,165,,,,,,,,,,,
160,006-00-018,煮立ち,Ac,,165,,,,,,,,,,,
161,006-00-019,さ,Ac,,165,,,,,,,,,,,
162,006-00-020,せ,Ac,,165,,,,,,,,,,,
163,006-00-021,火,T,,165,,,,,,,,,,,
165,006-00-023,止め,Ac,,174,,,,,,,,,,,
170,007-00-002,クラムチャウダー,F,,174,,,,,,,,,,,
172,007-00-004,器,T,,174,,,,,,,,,,,
174,007-00-006,盛り付け,Ac,,181,,,,,,,,,,,
179,007-00-011,パセリ,F,,181,,,,,,,,,,,
181,007-00-013,散ら,Ac,,-1,,,,,,,,,,,
184,007-00-016,完成,Af,,,,,,,,,,,,,
