,number,new_word,new_tag,Targ,dependency_dst,arclabel
0,000-00-000,キャベツ,F,,切,Targ
2,002-00-000,一口,Sf,,切,other-mod
3,003-00-000,大,Sf,,切,other-mod
5,005-00-000,切,Ac,,入れ,Targ
8,008-00-000,さつま,F,,揚げ,F-eq
9,009-00-000,揚げ,F,,くぐ,Targ
13,013-00-000,熱湯,F,,くぐ,Dest
15,015-00-000,くぐ,Ac,,油抜き,Targ
19,019-00-000,油抜き,Ac,,切,Targ
24,024-00-000,1,Q,,2,other-mod
26,026-00-000,2,Sf,,cm,other-mod
27,027-00-000,cm,Sf,,切,Dest
29,029-00-000,切,Ac,,入れ,Targ
32,032-00-000,鍋,T,,入れ,Dest
34,034-00-000,煮汁,F,,入れ,Targ
36,036-00-000,材料,F,,入れ,Targ
38,038-00-000,入れ,Ac,,て,Targ
39,039-00-000,て,Ac,,かけ,Targ
40,040-00-000,強火,T,,かけ,Dest
42,042-00-000,かけ,Ac,,入れ,Targ
44,044-00-000,煮立,Af,,入れ,V-tm
49,049-00-000,キャベツ,F,,入れ,Targ
51,051-00-000,さつま,F,,揚げ,F-eq
52,052-00-000,揚げ,F,,入れ,Targ
54,054-00-000,入れ,Ac,,る,Targ
55,055-00-000,る,Ac,,返,Targ
57,057-00-000,ふた,T,,返,Targ
63,063-00-000,上下,F,,返,Dest
65,065-00-000,返,Ac,,煮,Targ
69,069-00-000,10,D,,分,other-mod
70,070-00-000,分,Q,,煮,V-tm
72,072-00-000,煮,Ac,,,
