,org,dst,label
0,牛肉,一口,0
1,牛肉,大,0
2,牛肉,切,1
3,牛肉,じゃがいも,0
4,牛肉,皮,0
5,牛肉,む,0
6,牛肉,大き,0
7,牛肉,4,0
8,牛肉,切,1
9,牛肉,煮くずれ,0
10,牛肉,切り口,0
11,牛肉,角,0
12,牛肉,削り取,0
13,牛肉,面取り,0
14,牛肉,玉ねぎ,0
15,牛肉,くし形,0
16,牛肉,切,1
17,牛肉,糸,0
18,牛肉,ゆで,0
19,牛肉,食べ,0
20,牛肉,切,1
21,牛肉,鍋,0
22,牛肉,サラダ,0
23,牛肉,油,0
24,牛肉,熱,0
25,牛肉,牛肉,0
26,牛肉,中火,0
27,牛肉,炒め,0
28,牛肉,色,0
29,牛肉,変わ,0
30,牛肉,じゃがいも,0
31,牛肉,加え,0
32,牛肉,油,0
33,牛肉,なじ,0
34,牛肉,炒め,0
35,牛肉,玉ねぎ,0
36,牛肉,糸,0
37,牛肉,加え,0
38,牛肉,炒め合わせ,0
39,牛肉,調味,0
40,牛肉,水,0
41,牛肉,ひたひた,0
42,牛肉,加え,0
43,牛肉,中央,0
44,牛肉,穴,0
45,牛肉,あけ,0
46,牛肉,ホイル,0
47,牛肉,落としぶた,0
48,牛肉,し,0
49,牛肉,中火,0
50,牛肉,煮,0
51,牛肉,煮汁,0
52,牛肉,少な,0
53,牛肉,な,0
54,牛肉,味,0
55,牛肉,み,0
56,牛肉,砂糖,0
57,牛肉,しょうゆ,0
58,牛肉,味,0
59,牛肉,ととのえ,0
60,牛肉,煮汁,0
61,牛肉,なくな,0
62,牛肉,煮,0
63,一口,大,0
64,一口,切,1
65,一口,じゃがいも,0
66,一口,皮,0
67,一口,む,0
68,一口,大き,0
69,一口,4,0
70,一口,切,1
71,一口,煮くずれ,0
72,一口,切り口,0
73,一口,角,0
74,一口,削り取,0
75,一口,面取り,0
76,一口,玉ねぎ,0
77,一口,くし形,0
78,一口,切,1
79,一口,糸,0
80,一口,ゆで,0
81,一口,食べ,0
82,一口,切,1
83,一口,鍋,0
84,一口,サラダ,0
85,一口,油,0
86,一口,熱,0
87,一口,牛肉,0
88,一口,中火,0
89,一口,炒め,0
90,一口,色,0
91,一口,変わ,0
92,一口,じゃがいも,0
93,一口,加え,0
94,一口,油,0
95,一口,なじ,0
96,一口,炒め,0
97,一口,玉ねぎ,0
98,一口,糸,0
99,一口,加え,0
100,一口,炒め合わせ,0
101,一口,調味,0
102,一口,水,0
103,一口,ひたひた,0
104,一口,加え,0
105,一口,中央,0
106,一口,穴,0
107,一口,あけ,0
108,一口,ホイル,0
109,一口,落としぶた,0
110,一口,し,0
111,一口,中火,0
112,一口,煮,0
113,一口,煮汁,0
114,一口,少な,0
115,一口,な,0
116,一口,味,0
117,一口,み,0
118,一口,砂糖,0
119,一口,しょうゆ,0
120,一口,味,0
121,一口,ととのえ,0
122,一口,煮汁,0
123,一口,なくな,0
124,一口,煮,0
125,大,切,1
126,大,じゃがいも,0
127,大,皮,0
128,大,む,0
129,大,大き,0
130,大,4,0
131,大,切,1
132,大,煮くずれ,0
133,大,切り口,0
134,大,角,0
135,大,削り取,0
136,大,面取り,0
137,大,玉ねぎ,0
138,大,くし形,0
139,大,切,1
140,大,糸,0
141,大,ゆで,0
142,大,食べ,0
143,大,切,1
144,大,鍋,0
145,大,サラダ,0
146,大,油,0
147,大,熱,0
148,大,牛肉,0
149,大,中火,0
150,大,炒め,0
151,大,色,0
152,大,変わ,0
153,大,じゃがいも,0
154,大,加え,0
155,大,油,0
156,大,なじ,0
157,大,炒め,0
158,大,玉ねぎ,0
159,大,糸,0
160,大,加え,0
161,大,炒め合わせ,0
162,大,調味,0
163,大,水,0
164,大,ひたひた,0
165,大,加え,0
166,大,中央,0
167,大,穴,0
168,大,あけ,0
169,大,ホイル,0
170,大,落としぶた,0
171,大,し,0
172,大,中火,0
173,大,煮,0
174,大,煮汁,0
175,大,少な,0
176,大,な,0
177,大,味,0
178,大,み,0
179,大,砂糖,0
180,大,しょうゆ,0
181,大,味,0
182,大,ととのえ,0
183,大,煮汁,0
184,大,なくな,0
185,大,煮,0
186,切,じゃがいも,0
187,切,皮,0
188,切,む,0
189,切,大き,0
190,切,4,0
191,切,切,0
192,切,煮くずれ,0
193,切,切り口,0
194,切,角,0
195,切,削り取,0
196,切,面取り,0
197,切,玉ねぎ,0
198,切,くし形,0
199,切,切,0
200,切,糸,0
201,切,ゆで,0
202,切,食べ,0
203,切,切,0
204,切,鍋,0
205,切,サラダ,0
206,切,油,0
207,切,熱,0
208,切,牛肉,1
209,切,中火,0
210,切,炒め,0
211,切,色,0
212,切,変わ,0
213,切,じゃがいも,0
214,切,加え,0
215,切,油,0
216,切,なじ,0
217,切,炒め,0
218,切,玉ねぎ,0
219,切,糸,0
220,切,加え,0
